DateTime,High,Low,Open,Close,TotalVolume,PeriodVolume,Unknown
2024-03-01 13:05:00,138.1500,138.1000,138.1076,138.1400,14231616,35262,0
2024-03-01 13:04:00,138.1300,138.0500,138.0600,138.1100,14184944,37028,0
2024-03-01 13:03:00,138.1100,138.0550,138.0900,138.0550,14135961,28266,0
2024-03-01 13:02:00,138.0900,138.0500,138.0700,138.0900,14098138,26290,0
2024-03-01 13:01:00,138.0899,138.0250,138.0400,138.0750,14061189,40723,0
2024-03-01 13:00:00,138.0500,138.0000,138.0200,138.0400,14011562,55570,0
2024-03-01 12:59:00,138.0300,137.9500,137.9550,138.0200,13946500,51670,0
2024-03-01 12:58:00,138.0100,137.9399,137.9400,137.9500,13886883,72924,0
2024-03-01 12:57:00,137.9600,137.8900,137.9100,137.9350,13800637,57511,0
2024-03-01 12:56:00,137.9600,137.9000,137.9400,137.9031,13732680,23623,0
2024-03-01 12:55:00,138.0150,137.9400,137.9900,137.9400,13701807,39646,0
2024-03-01 12:54:00,138.0350,137.9817,138.0200,137.9850,13653493,28628,0
2024-03-01 12:53:00,138.0600,138.0250,138.0350,138.0250,13617968,13577,0
2024-03-01 12:52:00,138.0700,138.0200,138.0300,138.0300,13598119,36271,0
2024-03-01 12:51:00,138.0550,138.0000,138.0500,138.0200,13551793,42967,0
2024-03-01 12:50:00,138.0750,138.0300,138.0400,138.0500,13501549,30961,0
2024-03-01 12:49:00,138.0450,137.9800,138.0000,138.0450,13463696,31151,0
2024-03-01 12:48:00,138.0600,138.0050,138.0279,138.0080,13422423,18281,0
2024-03-01 12:47:00,138.0450,138.0050,138.0400,138.0300,13396344,22779,0
2024-03-01 12:46:00,138.0400,137.9700,137.9785,138.0360,13367276,24707,0
2024-03-01 12:45:00,138.0600,137.9700,138.0400,137.9700,13335265,27613,0
2024-03-01 12:44:00,138.0900,137.9900,137.9950,138.0500,13299647,57651,0
2024-03-01 12:43:00,138.0450,137.9900,138.0150,137.9900,13232768,23717,0
2024-03-01 12:42:00,138.0250,137.9600,137.9950,138.0100,13203323,69051,0
2024-03-01 12:41:00,138.0000,137.9600,137.9800,137.9950,13123276,21128,0
2024-03-01 12:40:00,138.0000,137.9400,137.9400,137.9800,13097891,16504,0
2024-03-01 12:39:00,137.9950,137.9200,137.9750,137.9400,13076686,24119,0
2024-03-01 12:38:00,138.0000,137.9400,137.9950,137.9650,13043844,20174,0
2024-03-01 12:37:00,138.0300,137.9700,137.9700,137.9974,13018182,38699,0
2024-03-01 12:36:00,137.9700,137.9200,137.9200,137.9681,12970152,13535,0
2024-03-01 12:35:00,137.9250,137.9000,137.9250,137.9180,12952753,24925,0
2024-03-01 12:34:00,137.9300,137.9099,137.9150,137.9300,12921848,12925,0
2024-03-01 12:33:00,137.9300,137.8450,137.8500,137.9100,12905011,17190,0
2024-03-01 12:32:00,137.8500,137.7950,137.8150,137.8499,12882329,15024,0
2024-03-01 12:31:00,137.8800,137.7850,137.8800,137.8150,12861959,31234,0
2024-03-01 12:30:00,137.8856,137.7900,137.7900,137.8700,12820652,26363,0
2024-03-01 12:29:00,137.8600,137.7800,137.8350,137.7900,12786202,39860,0
2024-03-01 12:28:00,137.8699,137.8328,137.8600,137.8400,12738020,16268,0
2024-03-01 12:27:00,137.9100,137.8500,137.9100,137.8550,12713392,36280,0
2024-03-01 12:26:00,137.9800,137.9150,137.9800,137.9150,12670326,21240,0
2024-03-01 12:25:00,137.9750,137.9100,137.9500,137.9700,12643480,16112,0
2024-03-01 12:24:00,137.9500,137.8450,137.8500,137.9450,12620437,26010,0
2024-03-01 12:23:00,137.9050,137.8300,137.9050,137.8350,12586728,28232,0
2024-03-01 12:22:00,137.9400,137.9000,137.9300,137.9050,12552352,27972,0
2024-03-01 12:21:00,137.9750,137.9200,137.9588,137.9250,12517281,25356,0
2024-03-01 12:20:00,137.9950,137.9400,137.9514,137.9600,12486588,18082,0
2024-03-01 12:19:00,137.9900,137.9100,137.9700,137.9589,12459923,31767,0
2024-03-01 12:18:00,137.9750,137.9500,137.9729,137.9750,12417097,15758,0
2024-03-01 12:17:00,137.9800,137.9400,137.9550,137.9700,12396402,21292,0
2024-03-01 12:16:00,137.9700,137.9300,137.9500,137.9532,12363767,19620,0
2024-03-01 12:15:00,137.9550,137.9100,137.9200,137.9550,12339853,31059,0
2024-03-01 12:14:00,137.9900,137.9100,137.9500,137.9200,12301537,31462,0
2024-03-01 12:13:00,138.0050,137.9150,137.9650,137.9400,12262919,51704,0
2024-03-01 12:12:00,137.9900,137.9200,137.9200,137.9650,12197829,24803,0
2024-03-01 12:11:00,137.9350,137.9000,137.9250,137.9199,12166037,22344,0
2024-03-01 12:10:00,137.9395,137.8850,137.8850,137.9250,12137930,26208,0
2024-03-01 12:09:00,137.8800,137.8000,137.8050,137.8800,12104456,21020,0
2024-03-01 12:08:00,137.8350,137.7550,137.7660,137.8100,12077749,25245,0
2024-03-01 12:07:00,137.8300,137.7500,137.8150,137.7650,12046843,24179,0
2024-03-01 12:06:00,137.8700,137.7500,137.7500,137.8200,12014933,29552,0
2024-03-01 12:05:00,137.7800,137.7300,137.7750,137.7500,11977666,23211,0
2024-03-01 12:04:00,137.7950,137.7250,137.7300,137.7750,11946075,29760,0
2024-03-01 12:03:00,137.7450,137.6850,137.7150,137.7200,11910023,13268,0
2024-03-01 12:02:00,137.7799,137.7000,137.7700,137.7076,11891419,21952,0
2024-03-01 12:01:00,137.7800,137.6700,137.6700,137.7650,11865702,38714,0
2024-03-01 12:00:00,137.7050,137.6250,137.6550,137.6700,11820947,35768,0
2024-03-01 11:59:00,137.6700,137.6500,137.6519,137.6550,11778955,19241,0
2024-03-01 11:58:00,137.7050,137.6400,137.7000,137.6527,11756311,19167,0
2024-03-01 11:57:00,137.7400,137.7000,137.7300,137.7071,11729738,15353,0
2024-03-01 11:56:00,137.7700,137.7387,137.7550,137.7400,11709023,19866,0
2024-03-01 11:55:00,137.7950,137.7437,137.7900,137.7550,11681455,25117,0
2024-03-01 11:54:00,137.7900,137.7300,137.7700,137.7800,11651033,32953,0
2024-03-01 11:53:00,137.7901,137.7500,137.7750,137.7750,11612310,27227,0
2024-03-01 11:52:00,137.7900,137.7500,137.7600,137.7750,11579720,41789,0
2024-03-01 11:51:00,137.7560,137.7150,137.7300,137.7500,11525186,23912,0
2024-03-01 11:50:00,137.7500,137.7050,137.7300,137.7350,11495185,29938,0
2024-03-01 11:49:00,137.7650,137.7000,137.7400,137.7250,11460036,25909,0
2024-03-01 11:48:00,137.7600,137.7100,137.7200,137.7350,11427103,42900,0
2024-03-01 11:47:00,137.7550,137.7000,137.7450,137.7200,11377344,24344,0
2024-03-01 11:46:00,137.7650,137.6940,137.6960,137.7400,11347810,79426,0
2024-03-01 11:45:00,137.7400,137.6850,137.7200,137.6950,11261568,16210,0
2024-03-01 11:44:00,137.7350,137.6950,137.7050,137.7050,11240832,15019,0
2024-03-01 11:43:00,137.7800,137.6900,137.7800,137.7000,11220614,42706,0
2024-03-01 11:42:00,137.7850,137.7450,137.7550,137.7795,11172686,44248,0
2024-03-01 11:41:00,137.7900,137.7350,137.7700,137.7550,11116821,19797,0
2024-03-01 11:40:00,137.7800,137.7200,137.7300,137.7750,11093051,37898,0
2024-03-01 11:39:00,137.7550,137.6900,137.7450,137.7301,11049193,46725,0
2024-03-01 11:38:00,137.7800,137.7300,137.7500,137.7401,10995664,25078,0
2024-03-01 11:37:00,137.7750,137.7300,137.7750,137.7500,10966818,28262,0
2024-03-01 11:36:00,137.8000,137.7100,137.7100,137.7750,10932475,55704,0
2024-03-01 11:35:00,137.7328,137.6500,137.7150,137.7050,10872115,46556,0
2024-03-01 11:34:00,137.8100,137.7050,137.7950,137.7100,10811927,28171,0
2024-03-01 11:33:00,137.8050,137.6900,137.7150,137.7950,10777355,22815,0
2024-03-01 11:32:00,137.7850,137.6950,137.7800,137.7100,10747457,26218,0
2024-03-01 11:31:00,137.7950,137.7200,137.7800,137.7750,10713599,24612,0
2024-03-01 11:30:00,137.8100,137.7750,137.7800,137.7937,10682352,24008,0
2024-03-01 11:29:00,137.8000,137.7600,137.7995,137.7750,10619315,25880,0
2024-03-01 11:28:00,137.8100,137.7650,137.7900,137.8000,10586839,34247,0
